full_name,email,country,political_group,national_party,id,profile_url
Vytenis Povilas ANDRIUKAITIS,vytenis.andriukaitis@europarl.europa.eu,LTU,S&D,org/6797,119652,https://www.europarl.europa.eu/meps/en/119652
Rosa ESTARÀS FERRAGUT,rosa.estaras@europarl.europa.eu,ESP,EPP,org/6666,96811,https://www.europarl.europa.eu/meps/en/96811
Alex AGIUS SALIBA,alex.agiussaliba@europarl.europa.eu,MLT,S&D,org/6689,197403,https://www.europarl.europa.eu/meps/en/197403
Alvise PÉREZ,luisalvise.perezfernandez@europarl.europa.eu,ESP,NI,org/7009,257019,https://www.europarl.europa.eu/meps/en/257019
Niels FUGLSANG,niels.fuglsang@europarl.europa.eu,DNK,S&D,org/6777,101585,https://www.europarl.europa.eu/meps/en/101585
Engin EROGLU,engin.eroglu@europarl.europa.eu,DEU,Renew,org/6807,197430,https://www.europarl.europa.eu/meps/en/197430
Sebastian KRUIS,sebastian.kruis@europarl.europa.eu,NLD,PfE,org/6696,256996,https://www.europarl.europa.eu/meps/en/256996
Gabriella GERZSENYI,gabriella.gerzsenyi@europarl.europa.eu,HUN,EPP,org/6847,256866,https://www.europarl.europa.eu/meps/en/256866
Markus FERBER,markus.ferber@europarl.europa.eu,DEU,EPP,org/6776,1917,https://www.europarl.europa.eu/meps/en/1917
Matteo RICCI,matteo.ricci@europarl.europa.eu,ITA,S&D,org/6675,257121,https://www.europarl.europa.eu/meps/en/257121
Ton DIEPEVEEN,ton.diepeveen@europarl.europa.eu,NLD,PfE,org/6696,256981,https://www.europarl.europa.eu/meps/en/256981
Marco SQUARTA,marco.squarta@europarl.europa.eu,ITA,ECR,org/6831,257109,https://www.europarl.europa.eu/meps/en/257109
Stine BOSSE,stine.bosse@europarl.europa.eu,DNK,Renew,org/6948,257020,https://www.europarl.europa.eu/meps/en/257020
Isabella LÖVIN,isabella.lovin@europarl.europa.eu,SWE,Greens/EFA,org/6717,96675,https://www.europarl.europa.eu/meps/en/96675
Sandro GOZI,sandro.gozi@europarl.europa.eu,ITA,Renew,org/6821,204419,https://www.europarl.europa.eu/meps/en/204419
Jaroslav BŽOCH,jaroslav.bzoch@europarl.europa.eu,CZE,PfE,org/6794,220840,https://www.europarl.europa.eu/meps/en/220840
Marjan ŠAREC,marjan.sarec@europarl.europa.eu,SVN,Renew,org/6909,256815,https://www.europarl.europa.eu/meps/en/256815
Valérie DELOGE,valerie.deloge@europarl.europa.eu,FRA,PfE,org/6848,256886,https://www.europarl.europa.eu/meps/en/256886
Michał WAWRYKIEWICZ,michal.wawrykiewicz@europarl.europa.eu,POL,EPP,org/6836,257045,https://www.europarl.europa.eu/meps/en/257045
Stefano BONACCINI,stefano.bonaccini@europarl.europa.eu,ITA,S&D,org/6675,257108,https://www.europarl.europa.eu/meps/en/257108
Eva MAYDELL,eva.maydell@europarl.europa.eu,BGR,EPP,org/6761,98341,https://www.europarl.europa.eu/meps/en/98341
Hristo PETROV,hristo.petrov@europarl.europa.eu,BGR,Renew,org/6932,257257,https://www.europarl.europa.eu/meps/en/257257
Ana MIRANDA PAZ,ana.miranda@europarl.europa.eu,ESP,Greens/EFA,org/6844,24942,https://www.europarl.europa.eu/meps/en/24942
Tamás DEUTSCH,tamas.deutsch@europarl.europa.eu,HUN,PfE,NI,96826,https://www.europarl.europa.eu/meps/en/96826
Krzysztof HETMAN,krzysztof.hetman@europarl.europa.eu,POL,EPP,org/6704,124895,https://www.europarl.europa.eu/meps/en/124895
Pietro FIOCCHI,pietro.fiocchi@europarl.europa.eu,ITA,ECR,org/6831,197607,https://www.europarl.europa.eu/meps/en/197607
Nora MEBAREK,nora.mebarek@europarl.europa.eu,FRA,S&D,org/6728,204418,https://www.europarl.europa.eu/meps/en/204418
Mireia BORRÁS PABÓN,mireia.borras@europarl.europa.eu,ESP,PfE,org/6871,257024,https://www.europarl.europa.eu/meps/en/257024
Pierre-Romain THIONNET,pierre-romain.thionnet@europarl.europa.eu,FRA,PfE,org/6848,200345,https://www.europarl.europa.eu/meps/en/200345
Jessica POLFJÄRD,jessica.polfjard@europarl.europa.eu,SWE,EPP,org/6713,197404,https://www.europarl.europa.eu/meps/en/197404
Javier ZARZALEJOS,javier.zarzalejos@europarl.europa.eu,ESP,EPP,org/6666,197606,https://www.europarl.europa.eu/meps/en/197606
Katri KULMUNI,katri.kulmuni@europarl.europa.eu,FIN,Renew,org/6725,198084,https://www.europarl.europa.eu/meps/en/198084
Petar VOLGIN,petar.volgin@europarl.europa.eu,BGR,ESN,org/6648,257260,https://www.europarl.europa.eu/meps/en/257260
Martin SONNEBORN,martin.sonneborn@europarl.europa.eu,DEU,NI,org/6803,124834,https://www.europarl.europa.eu/meps/en/124834
Jaroslava POKORNÁ JERMANOVÁ,jaroslava.pokornajermanova@europarl.europa.eu,CZE,PfE,org/6794,256844,https://www.europarl.europa.eu/meps/en/256844
Adam JARUBAS,adam.jarubas@europarl.europa.eu,POL,EPP,org/6704,197517,https://www.europarl.europa.eu/meps/en/197517
Anna STÜRGKH,anna.sturgkh@europarl.europa.eu,AUT,Renew,org/6749,256839,https://www.europarl.europa.eu/meps/en/256839
Danuše NERUDOVÁ,danuse.nerudova@europarl.europa.eu,CZE,EPP,org/6835,256847,https://www.europarl.europa.eu/meps/en/256847
Niclas HERBST,niclas.herbst@europarl.europa.eu,DEU,EPP,org/6771,197412,https://www.europarl.europa.eu/meps/en/197412
Giusi PRINCI,giusi.princi@europarl.europa.eu,ITA,EPP,org/6744,257128,https://www.europarl.europa.eu/meps/en/257128
Costas MAVRIDES,costas.mavrides@europarl.europa.eu,CYP,S&D,org/6766,124691,https://www.europarl.europa.eu/meps/en/124691
Reinhold LOPATKA,reinhold.lopatka@europarl.europa.eu,AUT,EPP,org/6745,220896,https://www.europarl.europa.eu/meps/en/220896
Volker SCHNURRBUSCH,volker.schnurrbusch@europarl.europa.eu,DEU,ESN,org/6802,267485,https://www.europarl.europa.eu/meps/en/267485
Morten LØKKEGAARD,morten.lokkegaard@europarl.europa.eu,DNK,Renew,org/6663,96709,https://www.europarl.europa.eu/meps/en/96709
Fabienne KELLER,fabienne.keller@europarl.europa.eu,FRA,Renew,org/6935,22858,https://www.europarl.europa.eu/meps/en/22858
Sven SIMON,sven.simon@europarl.europa.eu,DEU,EPP,org/6771,197426,https://www.europarl.europa.eu/meps/en/197426
Thomas BAJADA,thomas.bajada@europarl.europa.eu,MLT,S&D,org/6689,256936,https://www.europarl.europa.eu/meps/en/256936
Bartosz ARŁUKOWICZ,bartosz.arlukowicz@europarl.europa.eu,POL,EPP,org/6703,197492,https://www.europarl.europa.eu/meps/en/197492
Letizia MORATTI,letizia.moratti@europarl.europa.eu,ITA,EPP,org/6744,257151,https://www.europarl.europa.eu/meps/en/257151
Friedrich PÜRNER,friedrich.puerner@europarl.europa.eu,DEU,NI,org/6823,256969,https://www.europarl.europa.eu/meps/en/256969
Adina VĂLEAN,adina.valean@europarl.europa.eu,ROU,EPP,org/6709,37324,https://www.europarl.europa.eu/meps/en/37324
Diana IOVANOVICI ŞOŞOACĂ,diana.iovanovicisosoaca@europarl.europa.eu,ROU,NI,org/6645,257120,https://www.europarl.europa.eu/meps/en/257120
Alicia HOMS GINEL,alicia.homs@europarl.europa.eu,ESP,S&D,org/6667,122978,https://www.europarl.europa.eu/meps/en/122978
Camilla LAURETI,camilla.laureti@europarl.europa.eu,ITA,S&D,org/6675,230085,https://www.europarl.europa.eu/meps/en/230085
Gerben-Jan GERBRANDY,gerbrandy@europarl.europa.eu,NLD,Renew,org/6693,96940,https://www.europarl.europa.eu/meps/en/96940
Olivier CHASTEL,olivier.chastel@europarl.europa.eu,BEL,Renew,org/6756,197463,https://www.europarl.europa.eu/meps/en/197463
Malik AZMANI,malik.azmani@europarl.europa.eu,NLD,Renew,org/6691,197781,https://www.europarl.europa.eu/meps/en/197781
Elisabeth DIERINGER,elisabeth.dieringer@europarl.europa.eu,AUT,PfE,org/6747,256834,https://www.europarl.europa.eu/meps/en/256834
David CORMAND,david.cormand@europarl.europa.eu,FRA,Greens/EFA,org/6953,197503,https://www.europarl.europa.eu/meps/en/197503
Yannis MANIATIS,ioannis.maniatis@europarl.europa.eu,GRC,S&D,org/6876,256824,https://www.europarl.europa.eu/meps/en/256824
Jens GIESEKE,jens.gieseke@europarl.europa.eu,DEU,EPP,org/6771,124807,https://www.europarl.europa.eu/meps/en/124807
Daniel BUDA,daniel.buda@europarl.europa.eu,ROU,EPP,org/6709,125012,https://www.europarl.europa.eu/meps/en/125012
François-Xavier BELLAMY,fxbellamy@europarl.europa.eu,FRA,EPP,org/6827,197534,https://www.europarl.europa.eu/meps/en/197534
Anja HAZEKAMP,anja.hazekamp@europarl.europa.eu,NLD,The Left,org/6695,125023,https://www.europarl.europa.eu/meps/en/125023
Per CLAUSEN,per.clausen@europarl.europa.eu,DNK,The Left,org/6863,257023,https://www.europarl.europa.eu/meps/en/257023
Nicola ZINGARETTI,nicola.zingaretti@europarl.europa.eu,ITA,S&D,org/6675,28419,https://www.europarl.europa.eu/meps/en/28419
Annalisa CORRADO,annalisa.corrado@europarl.europa.eu,ITA,S&D,org/6675,257169,https://www.europarl.europa.eu/meps/en/257169
Ruth FIRMENICH,ruth.firmenich@europarl.europa.eu,DEU,NI,org/6850,25758,https://www.europarl.europa.eu/meps/en/25758
Rody TOLASSY,rody.tolassy@europarl.europa.eu,FRA,PfE,org/6848,256888,https://www.europarl.europa.eu/meps/en/256888
Herbert DORFMANN,herbert.dorfmann@europarl.europa.eu,ITA,EPP,org/6676,96787,https://www.europarl.europa.eu/meps/en/96787
Ilhan KYUCHYUK,ilhan.kyuchyuk@europarl.europa.eu,BGR,Renew,org/6763,124866,https://www.europarl.europa.eu/meps/en/124866
Karlo RESSLER,karlo.ressler@europarl.europa.eu,HRV,EPP,org/6734,197413,https://www.europarl.europa.eu/meps/en/197413
Diana RIBA I GINER,diana.ribaiginer@europarl.europa.eu,ESP,Greens/EFA,org/6669,197832,https://www.europarl.europa.eu/meps/en/197832
Wouter BEKE,wouter.beke@europarl.europa.eu,BEL,EPP,org/6755,256887,https://www.europarl.europa.eu/meps/en/256887
Pernando BARRENA ARZA,pernando.barrena@europarl.europa.eu,ESP,The Left,org/6812,197684,https://www.europarl.europa.eu/meps/en/197684
France JAMET,france.jamet@europarl.europa.eu,FRA,PfE,org/6848,189065,https://www.europarl.europa.eu/meps/en/189065
Nathalie LOISEAU,nathalie.loiseau@europarl.europa.eu,FRA,Renew,org/6919,197494,https://www.europarl.europa.eu/meps/en/197494
Jacek OZDOBA,jacek.ozdoba@europarl.europa.eu,POL,ECR,org/6702,257086,https://www.europarl.europa.eu/meps/en/257086
Aodhán Ó RÍORDÁIN,aodhan.oriordain@europarl.europa.eu,IRL,S&D,org/7022,257238,https://www.europarl.europa.eu/meps/en/257238
Krzysztof BREJZA,krzysztof.brejza@europarl.europa.eu,POL,EPP,org/6703,251324,https://www.europarl.europa.eu/meps/en/251324
Francesco VENTOLA,francesco.ventola@europarl.europa.eu,ITA,ECR,org/6831,257099,https://www.europarl.europa.eu/meps/en/257099
Sabrina REPP,sabrina.repp@europarl.europa.eu,DEU,S&D,org/6772,256935,https://www.europarl.europa.eu/meps/en/256935
Martin HOJSÍK,martin.hojsik@europarl.europa.eu,SVK,Renew,org/6874,197770,https://www.europarl.europa.eu/meps/en/197770
Luke Ming FLANAGAN,lukeming.flanagan@europarl.europa.eu,IRL,The Left,org/6739,124985,https://www.europarl.europa.eu/meps/en/124985
Vilis KRIŠTOPANS,vilis.kristopans@europarl.europa.eu,LVA,PfE,org/6930,256909,https://www.europarl.europa.eu/meps/en/256909
Tobias CREMER,tobias.cremer@europarl.europa.eu,DEU,S&D,org/6772,256938,https://www.europarl.europa.eu/meps/en/256938
Marion WALSMANN,marionerika.walsmann@europarl.europa.eu,DEU,EPP,org/6771,197429,https://www.europarl.europa.eu/meps/en/197429
Fernando NAVARRETE ROJAS,fernando.navarrete@europarl.europa.eu,ESP,EPP,org/6666,257027,https://www.europarl.europa.eu/meps/en/257027
Barbara BONTE,barbara.bonte@europarl.europa.eu,BEL,PfE,org/6751,256881,https://www.europarl.europa.eu/meps/en/256881
Arash SAEIDI,arash.saeidi@europarl.europa.eu,FRA,The Left,org/6878,256911,https://www.europarl.europa.eu/meps/en/256911
Mélanie DISDIER,melanie.disdier@europarl.europa.eu,FRA,PfE,org/6848,256874,https://www.europarl.europa.eu/meps/en/256874
Ewa ZAJĄCZKOWSKA-HERNIK,ewa.zajaczkowska-hernik@europarl.europa.eu,POL,ESN,org/6856,257069,https://www.europarl.europa.eu/meps/en/257069
Danilo DELLA VALLE,danilo.dellavalle@europarl.europa.eu,ITA,The Left,org/6674,257155,https://www.europarl.europa.eu/meps/en/257155
Marta WCISŁO,marta.wcislo@europarl.europa.eu,POL,EPP,org/6703,257046,https://www.europarl.europa.eu/meps/en/257046
Antonella SBERNA,antonella.sberna@europarl.europa.eu,ITA,ECR,org/6831,257113,https://www.europarl.europa.eu/meps/en/257113
Udo BULLMANN,udo.bullmann@europarl.europa.eu,DEU,S&D,org/6772,4267,https://www.europarl.europa.eu/meps/en/4267
Lara WOLTERS,lara.wolters@europarl.europa.eu,NLD,S&D,org/7952,5392,https://www.europarl.europa.eu/meps/en/5392
Nikos PAPANDREOU,nikos.papandreou@europarl.europa.eu,GRC,S&D,org/6876,244571,https://www.europarl.europa.eu/meps/en/244571
Marta TEMIDO,marta.temido@europarl.europa.eu,PRT,S&D,org/6706,210480,https://www.europarl.europa.eu/meps/en/210480
Saskia BRICMONT,saskia.bricmont@europarl.europa.eu,BEL,Greens/EFA,org/6757,197470,https://www.europarl.europa.eu/meps/en/197470
Enikő GYŐRI,eniko.gyori@europarl.europa.eu,HUN,PfE,NI,96830,https://www.europarl.europa.eu/meps/en/96830
Paulius SAUDARGAS,paulius.saudargas@europarl.europa.eu,LTU,EPP,org/6678,256809,https://www.europarl.europa.eu/meps/en/256809
Gabriel MATO,gabriel.mato@europarl.europa.eu,ESP,EPP,org/6666,96936,https://www.europarl.europa.eu/meps/en/96936
Tom BERENDSEN,tom.berendsen@europarl.europa.eu,NLD,EPP,org/6697,197778,https://www.europarl.europa.eu/meps/en/197778
Emmanouil FRAGKOS,emmanouil.fragkos@europarl.europa.eu,GRC,ECR,org/6781,198490,https://www.europarl.europa.eu/meps/en/198490
Fernand KARTHEISER,fernand.kartheiser@europarl.europa.eu,LUX,NI,org/7031,256900,https://www.europarl.europa.eu/meps/en/256900
Liudas MAŽYLIS,liudas.mazylis@europarl.europa.eu,LTU,EPP,org/6678,197841,https://www.europarl.europa.eu/meps/en/197841
Alessandro ZAN,alessandro.zan@europarl.europa.eu,ITA,S&D,org/6675,257106,https://www.europarl.europa.eu/meps/en/257106
Jorge BUXADÉ VILLALBA,jorge.buxadevillalba@europarl.europa.eu,ESP,PfE,org/6871,197829,https://www.europarl.europa.eu/meps/en/197829
Waldemar TOMASZEWSKI,waldemar.tomaszewski@europarl.europa.eu,LTU,ECR,org/6679,96697,https://www.europarl.europa.eu/meps/en/96697
Billy KELLEHER,billy.kelleher@europarl.europa.eu,IRL,Renew,org/6741,197818,https://www.europarl.europa.eu/meps/en/197818
Kira Marie PETER-HANSEN,kira.peter-hansen@europarl.europa.eu,DNK,Greens/EFA,org/6661,197573,https://www.europarl.europa.eu/meps/en/197573
Paulo DO NASCIMENTO CABRAL,paulo.nascimentocabral@europarl.europa.eu,PRT,EPP,org/6640,257048,https://www.europarl.europa.eu/meps/en/257048
Michał KOBOSKO,michal.kobosko@europarl.europa.eu,POL,Renew,org/6893,257037,https://www.europarl.europa.eu/meps/en/257037
Dick ERIXON,dick.erixon@europarl.europa.eu,SWE,ECR,org/6810,257091,https://www.europarl.europa.eu/meps/en/257091
Jaume ASENS LLODRÀ,jaume.asens@europarl.europa.eu,ESP,Greens/EFA,org/6784,257015,https://www.europarl.europa.eu/meps/en/257015
Andrzej BUŁA,andrzej.bula@europarl.europa.eu,POL,EPP,org/6703,257051,https://www.europarl.europa.eu/meps/en/257051
Zala TOMAŠIČ,zala.tomasic@europarl.europa.eu,SVN,EPP,org/6719,256814,https://www.europarl.europa.eu/meps/en/256814
Pierre PIMPIE,pierre.pimpie@europarl.europa.eu,FRA,PfE,org/6848,256893,https://www.europarl.europa.eu/meps/en/256893
Christel SCHALDEMOSE,christel.schaldemose@europarl.europa.eu,DNK,S&D,org/6777,37312,https://www.europarl.europa.eu/meps/en/37312
Tomasz BUCZEK,tomasz.buczek@europarl.europa.eu,POL,PfE,org/6856,257072,https://www.europarl.europa.eu/meps/en/257072
Yvan VEROUGSTRAETE,yvan.verougstraete@europarl.europa.eu,BEL,Renew,org/6903,256879,https://www.europarl.europa.eu/meps/en/256879
Ilaria SALIS,ilaria.salis@europarl.europa.eu,ITA,The Left,org/6944,257127,https://www.europarl.europa.eu/meps/en/257127
Jaroslav KNOT,jaroslav.knot@europarl.europa.eu,CZE,PfE,org/6794,270261,https://www.europarl.europa.eu/meps/en/270261
Kai TEGETHOFF,kai.tegethoff@europarl.europa.eu,DEU,Greens/EFA,org/6859,256965,https://www.europarl.europa.eu/meps/en/256965
Mārtiņš STAĶIS,martins.stakis@europarl.europa.eu,LVA,Greens/EFA,org/6933,256916,https://www.europarl.europa.eu/meps/en/256916
Alberico GAMBINO,alberico.gambino@europarl.europa.eu,ITA,ECR,org/6831,257097,https://www.europarl.europa.eu/meps/en/257097
Laurence FARRENG,laurence.farreng@europarl.europa.eu,FRA,Renew,org/6821,197589,https://www.europarl.europa.eu/meps/en/197589
Lena SCHILLING,lena.schilling@europarl.europa.eu,AUT,Greens/EFA,org/6748,256833,https://www.europarl.europa.eu/meps/en/256833
Lena DÜPONT,lena.duepont@europarl.europa.eu,DEU,EPP,org/6771,99945,https://www.europarl.europa.eu/meps/en/99945
Jutta PAULUS,jutta.paulus@europarl.europa.eu,DEU,Greens/EFA,org/6773,197466,https://www.europarl.europa.eu/meps/en/197466
Sérgio GONÇALVES,sergio.sousagoncalves@europarl.europa.eu,PRT,S&D,org/6706,257079,https://www.europarl.europa.eu/meps/en/257079
Nicolás PASCUAL DE LA PARTE,nicolas.pascualdelaparte@europarl.europa.eu,ESP,EPP,org/6666,257040,https://www.europarl.europa.eu/meps/en/257040
Günther SIDL,guenther.sidl@europarl.europa.eu,AUT,S&D,org/6746,197677,https://www.europarl.europa.eu/meps/en/197677
Ondřej KOLÁŘ,ondrej.kolar@europarl.europa.eu,CZE,EPP,org/6793,256846,https://www.europarl.europa.eu/meps/en/256846
Miriam LEXMANN,miriam.lexmann@europarl.europa.eu,SVK,EPP,org/6722,204336,https://www.europarl.europa.eu/meps/en/204336
Daniel OBAJTEK,daniel.obajtek@europarl.europa.eu,POL,ECR,org/6702,257058,https://www.europarl.europa.eu/meps/en/257058
Vladimir PREBILIČ,vladimir.prebilic@europarl.europa.eu,SVN,Greens/EFA,,256813,https://www.europarl.europa.eu/meps/en/256813
Assita KANKO,assita.kanko@europarl.europa.eu,BEL,ECR,org/6754,197469,https://www.europarl.europa.eu/meps/en/197469
Mika AALTOLA,mika.aaltola@europarl.europa.eu,FIN,EPP,org/6726,256810,https://www.europarl.europa.eu/meps/en/256810
Elisabeth GROSSMANN,elisabeth.grossmann@europarl.europa.eu,AUT,S&D,org/6746,256830,https://www.europarl.europa.eu/meps/en/256830
Brigitte VAN DEN BERG,brigitte.vandenberg@europarl.europa.eu,NLD,Renew,org/6693,256976,https://www.europarl.europa.eu/meps/en/256976
Tiemo WÖLKEN,tiemo.woelken@europarl.europa.eu,DEU,S&D,org/6772,185619,https://www.europarl.europa.eu/meps/en/185619
Radan KANEV,radan.kanev@europarl.europa.eu,BGR,EPP,org/6804,197839,https://www.europarl.europa.eu/meps/en/197839
Terry REINTKE,terry.reintke@europarl.europa.eu,DEU,Greens/EFA,org/6773,103381,https://www.europarl.europa.eu/meps/en/103381
André ROUGÉ,andre.rouge@europarl.europa.eu,FRA,PfE,org/6848,197690,https://www.europarl.europa.eu/meps/en/197690
Sofie ERIKSSON,sofie.eriksson@europarl.europa.eu,SWE,S&D,org/6712,257088,https://www.europarl.europa.eu/meps/en/257088
Pál SZEKERES,pal.szekeres@europarl.europa.eu,HUN,PfE,NI,256855,https://www.europarl.europa.eu/meps/en/256855
Marco FALCONE,marco.falcone@europarl.europa.eu,ITA,EPP,org/6744,257137,https://www.europarl.europa.eu/meps/en/257137
Irena JOVEVA,irena.joveva@europarl.europa.eu,SVN,Renew,org/6909,197447,https://www.europarl.europa.eu/meps/en/197447
Georgios AFTIAS,georgios.aftias@europarl.europa.eu,GRC,EPP,org/6730,256820,https://www.europarl.europa.eu/meps/en/256820
Dimitris TSIODRAS,dimitrios.tsiodras@europarl.europa.eu,GRC,EPP,org/6730,256950,https://www.europarl.europa.eu/meps/en/256950
Stefano CAVEDAGNA,stefano.cavedagna@europarl.europa.eu,ITA,ECR,org/6831,257096,https://www.europarl.europa.eu/meps/en/257096
Jan FARSKÝ,jan.farsky@europarl.europa.eu,CZE,EPP,org/6835,256840,https://www.europarl.europa.eu/meps/en/256840
Dragoş BENEA,adrian-dragos.benea@europarl.europa.eu,ROU,S&D,org/6708,197658,https://www.europarl.europa.eu/meps/en/197658
Anthony SMITH,anthony.smith@europarl.europa.eu,FRA,The Left,org/6878,256910,https://www.europarl.europa.eu/meps/en/256910
Chiara GEMMA,chiara.gemma@europarl.europa.eu,ITA,ECR,org/6831,197794,https://www.europarl.europa.eu/meps/en/197794
Nikos PAPPAS,nikolaos.pappas@europarl.europa.eu,GRC,The Left,org/6731,256952,https://www.europarl.europa.eu/meps/en/256952
Alma EZCURRA ALMANSA,alma.ezcurra@europarl.europa.eu,ESP,EPP,org/6666,257035,https://www.europarl.europa.eu/meps/en/257035
Hannes HEIDE,hannes.heide@europarl.europa.eu,AUT,S&D,org/6746,197682,https://www.europarl.europa.eu/meps/en/197682
Kristian VIGENIN,kristian.vigenin@europarl.europa.eu,BGR,S&D,org/6762,34232,https://www.europarl.europa.eu/meps/en/34232
Marc BOTENGA,marcjohan.botenga@europarl.europa.eu,BEL,The Left,org/6860,187917,https://www.europarl.europa.eu/meps/en/187917
Romana TOMC,romana.tomc@europarl.europa.eu,SVN,EPP,org/6719,125104,https://www.europarl.europa.eu/meps/en/125104
Jean-Marc GERMAIN,jean-marc.germain@europarl.europa.eu,FRA,S&D,org/6728,256901,https://www.europarl.europa.eu/meps/en/256901
Laurence TROCHU,laurence.trochu@europarl.europa.eu,FRA,ECR,org/7876,256925,https://www.europarl.europa.eu/meps/en/256925
Johan DANIELSSON,johan.danielsson@europarl.europa.eu,SWE,S&D,org/6712,38542,https://www.europarl.europa.eu/meps/en/38542
Jessika VAN LEEUWEN,jessika.vanleeuwen@europarl.europa.eu,NLD,EPP,org/6851,256983,https://www.europarl.europa.eu/meps/en/256983
Gerolf ANNEMANS,gerolf.annemans@europarl.europa.eu,BEL,PfE,org/6751,124973,https://www.europarl.europa.eu/meps/en/124973
Manfred WEBER,manfred.weber@europarl.europa.eu,DEU,EPP,org/6776,28229,https://www.europarl.europa.eu/meps/en/28229
Emma RAFOWICZ,emma.rafowicz@europarl.europa.eu,FRA,S&D,org/6728,256902,https://www.europarl.europa.eu/meps/en/256902
Valérie DEVAUX,valerie.devaux@europarl.europa.eu,FRA,Renew,org/7017,256870,https://www.europarl.europa.eu/meps/en/256870
Leire PAJÍN,leire.pajiniraola@europarl.europa.eu,ESP,S&D,org/6667,256993,https://www.europarl.europa.eu/meps/en/256993
Jonás FERNÁNDEZ,jonas.fernandezalvarez@europarl.europa.eu,ESP,S&D,org/6667,125046,https://www.europarl.europa.eu/meps/en/125046
Milan ZVER,milan.zver@europarl.europa.eu,SVN,EPP,org/6719,96933,https://www.europarl.europa.eu/meps/en/96933
Marie TOUSSAINT,marie.toussaint@europarl.europa.eu,FRA,Greens/EFA,org/6953,97236,https://www.europarl.europa.eu/meps/en/97236
Evin INCIR,evin.incir@europarl.europa.eu,SWE,S&D,org/6712,197392,https://www.europarl.europa.eu/meps/en/197392
Monika BEŇOVÁ,monika.benova@europarl.europa.eu,SVK,NI,org/6723,23868,https://www.europarl.europa.eu/meps/en/23868
Tonino PICULA,tonino.picula@europarl.europa.eu,HRV,S&D,org/6735,112744,https://www.europarl.europa.eu/meps/en/112744
Rihards KOLS,rihards.kols@europarl.europa.eu,LVA,ECR,org/6685,220871,https://www.europarl.europa.eu/meps/en/220871
Ruggero RAZZA,ruggero.razza@europarl.europa.eu,ITA,ECR,org/6831,257104,https://www.europarl.europa.eu/meps/en/257104
Mario MANTOVANI,mario.mantovani@europarl.europa.eu,ITA,ECR,org/6831,4395,https://www.europarl.europa.eu/meps/en/4395
Jan-Christoph OETJEN,jan-christoph.oetjen@europarl.europa.eu,DEU,Renew,org/6774,197432,https://www.europarl.europa.eu/meps/en/197432
Magdalena ADAMOWICZ,magdalena.adamowicz@europarl.europa.eu,POL,EPP,org/6836,197490,https://www.europarl.europa.eu/meps/en/197490
Kateřina KONEČNÁ,katerina.konecna@europarl.europa.eu,CZE,NI,org/6769,23699,https://www.europarl.europa.eu/meps/en/23699
Christophe GRUDLER,christophe.grudler@europarl.europa.eu,FRA,Renew,org/6821,197557,https://www.europarl.europa.eu/meps/en/197557
Sarah KNAFO,sarah.knafo@europarl.europa.eu,FRA,ESN,org/6902,256924,https://www.europarl.europa.eu/meps/en/256924
Ingeborg TER LAAK,ingeborg.terlaak@europarl.europa.eu,NLD,EPP,org/6697,256968,https://www.europarl.europa.eu/meps/en/256968
Ciaran MULLOOLY,ciaran.mullooly@europarl.europa.eu,IRL,Renew,org/6739,257298,https://www.europarl.europa.eu/meps/en/257298
Gerald HAUSER,gerald.hauser@europarl.europa.eu,AUT,PfE,org/6747,256842,https://www.europarl.europa.eu/meps/en/256842
Anna CAVAZZINI,anna.cavazzini@europarl.europa.eu,DEU,Greens/EFA,org/6773,86793,https://www.europarl.europa.eu/meps/en/86793
Gheorghe CÂRCIU,gheorghe.carciu@europarl.europa.eu,ROU,S&D,org/6708,257100,https://www.europarl.europa.eu/meps/en/257100
Adrián VÁZQUEZ LÁZARA,adrian.vazquezlazara@europarl.europa.eu,ESP,EPP,org/6666,204400,https://www.europarl.europa.eu/meps/en/204400
Pilar DEL CASTILLO VERA,pilar.delcastillo@europarl.europa.eu,ESP,EPP,org/6666,28390,https://www.europarl.europa.eu/meps/en/28390
Erik MARQUARDT,erik.marquardt@europarl.europa.eu,DEU,Greens/EFA,org/6773,197462,https://www.europarl.europa.eu/meps/en/197462
Estelle CEULEMANS,estelle.ceulemans@europarl.europa.eu,BEL,S&D,org/6758,256880,https://www.europarl.europa.eu/meps/en/256880
Katarina BARLEY,katarina.barley@europarl.europa.eu,DEU,S&D,org/6772,197433,https://www.europarl.europa.eu/meps/en/197433
Nikolaos ANADIOTIS,nikolaos.anadiotis@europarl.europa.eu,GRC,NI,org/7011,256858,https://www.europarl.europa.eu/meps/en/256858
Stéphanie YON-COURTIN,stephanie.yon@europarl.europa.eu,FRA,Renew,org/6935,197581,https://www.europarl.europa.eu/meps/en/197581
Petras GRAŽULIS,petras.grazulis@europarl.europa.eu,LTU,ESN,org/7021,256808,https://www.europarl.europa.eu/meps/en/256808
Carolina MORACE,carolina.morace@europarl.europa.eu,ITA,The Left,org/6674,257140,https://www.europarl.europa.eu/meps/en/257140
Mircea-Gheorghe HAVA,mircea.hava@europarl.europa.eu,ROU,EPP,org/6709,197646,https://www.europarl.europa.eu/meps/en/197646
Jana NAGYOVÁ,jana.nagyova@europarl.europa.eu,CZE,PfE,org/6794,256843,https://www.europarl.europa.eu/meps/en/256843
